what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1250008325437
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1250008325609
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1250008325734
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1250008325921
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1250008326046
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1250008326625
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1250008328718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1250008329578
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250008330015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250008332515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008334500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008343734
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1250008344921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250008344984
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250008352609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250008357890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008359062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008362078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008368953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008368953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008369031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008375937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008378125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250008382187
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1250008417812
